Time [s],Channel 0
48.880000000,0.683
48.884000000,0.681
48.888000000,0.681
48.892000000,0.683
48.896000000,0.681
48.900000000,0.681
48.904000000,0.681
48.908000000,0.681
48.912000000,0.681
48.916000000,0.683
48.920000000,0.681
48.924000000,0.681
48.928000000,0.681
48.932000000,0.683
48.936000000,0.681
48.940000000,0.681
48.944000000,0.681
48.948000000,0.683
48.952000000,0.681
48.956000000,0.681
48.960000000,0.683
48.964000000,0.683
48.968000000,0.683
48.972000000,0.683
48.976000000,0.683
48.980000000,0.681
48.984000000,0.681
48.988000000,0.683
48.992000000,0.681
48.996000000,0.681
49.000000000,0.681
49.004000000,0.681
49.008000000,0.683
49.012000000,0.683
49.016000000,0.683
49.020000000,0.683
49.024000000,0.681
49.028000000,0.683
49.032000000,0.681
49.036000000,0.681
49.040000000,0.681
49.044000000,0.681
49.048000000,0.683
49.052000000,0.683
49.056000000,0.683
49.060000000,0.683
49.064000000,0.683
49.068000000,0.683
49.072000000,0.683
49.076000000,0.683
49.080000000,0.683
49.084000000,0.681
49.088000000,0.681
49.092000000,0.681
49.096000000,0.681
49.100000000,0.683
49.104000000,0.681
49.108000000,0.683
49.112000000,0.681
49.116000000,0.681
49.120000000,0.683
49.124000000,0.683
49.128000000,0.683
49.132000000,0.683
49.136000000,0.681
49.140000000,0.681
49.144000000,0.681
49.148000000,0.683
49.152000000,0.683
49.156000000,0.683
49.160000000,0.683
49.164000000,0.683
49.168000000,0.683
49.172000000,0.681
49.176000000,0.683
49.180000000,0.683
49.184000000,0.683
49.188000000,0.681
49.192000000,0.681
49.196000000,0.681
49.200000000,0.681
49.204000000,0.683
49.208000000,0.683
49.212000000,0.681
49.216000000,0.681
49.220000000,0.681
49.224000000,0.683
49.228000000,0.681
49.232000000,0.681
49.236000000,0.681
49.240000000,0.683
49.244000000,0.681
49.248000000,0.681
49.252000000,0.681
49.256000000,0.681
49.260000000,0.683
49.264000000,0.683
49.268000000,0.683
49.272000000,0.683
49.276000000,0.681
49.280000000,0.681
49.284000000,0.681
49.288000000,0.681
49.292000000,0.683
49.296000000,0.683
49.300000000,0.681
49.304000000,0.683
49.308000000,0.683
49.312000000,0.683
49.316000000,0.681
49.320000000,0.681
49.324000000,0.681
49.328000000,0.681
49.332000000,0.681
49.336000000,0.683
49.340000000,0.681
49.344000000,0.681
49.348000000,0.683
49.352000000,0.683
49.356000000,0.683
49.360000000,0.681
49.364000000,0.681
49.368000000,0.681
49.372000000,0.681
49.376000000,0.683
49.380000000,0.681
49.384000000,0.681
49.388000000,0.681
49.392000000,0.683
49.396000000,0.681
49.400000000,0.683
49.404000000,0.681
49.408000000,0.681
49.412000000,0.681
49.416000000,0.681
49.420000000,0.681
49.424000000,0.681
49.428000000,0.681
49.432000000,0.681
49.436000000,0.681
49.440000000,0.683
49.444000000,0.681
49.448000000,0.681
49.452000000,0.681
49.456000000,0.681
49.460000000,0.681
49.464000000,0.681
49.468000000,0.681
49.472000000,0.681
49.476000000,0.683
49.480000000,0.681
49.484000000,0.681
49.488000000,0.681
49.492000000,0.683
49.496000000,0.681
49.500000000,0.683
49.504000000,0.681
49.508000000,0.681
49.512000000,0.683
49.516000000,0.683
49.520000000,0.683
49.524000000,0.683
49.528000000,0.681
49.532000000,0.683
49.536000000,0.683
49.540000000,0.681
49.544000000,0.683
49.548000000,0.681
49.552000000,0.681
49.556000000,0.681
49.560000000,0.681
49.564000000,0.683
49.568000000,0.681
49.572000000,0.683
49.576000000,0.681
49.580000000,0.683
49.584000000,0.681
49.588000000,0.681
49.592000000,0.683
49.596000000,0.681
49.600000000,0.681
49.604000000,0.681
49.608000000,0.683
49.612000000,0.683
49.616000000,0.681
49.620000000,0.681
49.624000000,0.683
49.628000000,0.683
49.632000000,0.683
49.636000000,0.683
49.640000000,0.683
49.644000000,0.681
49.648000000,0.683
49.652000000,0.681
49.656000000,0.681
49.660000000,0.681
49.664000000,0.681
49.668000000,0.681
49.672000000,0.681
49.676000000,0.681
49.680000000,0.681
49.684000000,0.683
49.688000000,0.681
49.692000000,0.681
49.696000000,0.681
49.700000000,0.681
49.704000000,0.681
49.708000000,0.681
49.712000000,0.681
49.716000000,0.681
49.720000000,0.681
49.724000000,0.681
49.728000000,0.681
49.732000000,0.681
49.736000000,0.681
49.740000000,0.681
49.744000000,0.683
49.748000000,0.683
49.752000000,0.681
49.756000000,0.683
49.760000000,0.683
49.764000000,0.681
49.768000000,0.681
49.772000000,0.681
49.776000000,0.681
49.780000000,0.681
49.784000000,0.681
49.788000000,0.683
49.792000000,0.683
49.796000000,0.681
49.800000000,0.683
49.804000000,0.683
49.808000000,0.683
49.812000000,0.683
49.816000000,0.683
49.820000000,0.681
49.824000000,0.681
49.828000000,0.683
49.832000000,0.681
49.836000000,0.683
49.840000000,0.681
49.844000000,0.683
49.848000000,0.681
49.852000000,0.681
49.856000000,0.683
49.860000000,0.681
49.864000000,0.681
49.868000000,0.681
49.872000000,0.683
49.876000000,0.681
49.880000000,0.681
49.884000000,0.681
49.888000000,0.681
49.892000000,0.683
49.896000000,0.681
49.900000000,0.681
49.904000000,0.683
49.908000000,0.681
49.912000000,0.681
49.916000000,0.681
49.920000000,0.681
49.924000000,0.681
49.928000000,0.681
49.932000000,0.681
49.936000000,0.681
49.940000000,0.681
49.944000000,0.681
49.948000000,0.681
49.952000000,0.681
49.956000000,0.681
49.960000000,0.683
49.964000000,0.681
49.968000000,0.681
49.972000000,0.681
49.976000000,0.683
49.980000000,0.683
49.984000000,0.681
49.988000000,0.681
49.992000000,0.681
49.996000000,0.681
50.000000000,0.681
50.004000000,0.681
50.008000000,0.683
50.012000000,0.681
50.016000000,0.683
50.020000000,0.683
50.024000000,0.681
50.028000000,0.683
50.032000000,0.683
50.036000000,0.681
50.040000000,0.681
50.044000000,0.681
50.048000000,0.683
50.052000000,0.681
50.056000000,0.683
50.060000000,0.681
50.064000000,0.683
50.068000000,0.681
50.072000000,0.681
50.076000000,0.683
50.080000000,0.683
50.084000000,0.681
50.088000000,0.683
50.092000000,0.683
50.096000000,0.681
50.100000000,0.683
50.104000000,0.681
50.108000000,0.681
50.112000000,0.681
50.116000000,0.681
50.120000000,0.681
50.124000000,0.683
50.128000000,0.681
50.132000000,0.683
50.136000000,0.683
50.140000000,0.681
50.144000000,0.683
50.148000000,0.681
50.152000000,0.681
50.156000000,0.681
50.160000000,0.681
50.164000000,0.681
50.168000000,0.681
50.172000000,0.683
50.176000000,0.681
50.180000000,0.683
50.184000000,0.683
50.188000000,0.683
50.192000000,0.683
50.196000000,0.681
50.200000000,0.683
50.204000000,0.681
50.208000000,0.681
50.212000000,0.681
50.216000000,0.683
50.220000000,0.683
50.224000000,0.681
50.228000000,0.681
50.232000000,0.681
50.236000000,0.681
50.240000000,0.683
50.244000000,0.681
50.248000000,0.681
50.252000000,0.681
50.256000000,0.681
50.260000000,0.681
50.264000000,0.683
50.268000000,0.683
50.272000000,0.683
50.276000000,0.681
50.280000000,0.681
50.284000000,0.681
50.288000000,0.681
50.292000000,0.683
50.296000000,0.681
50.300000000,0.683
50.304000000,0.681
50.308000000,0.681
50.312000000,0.683
50.316000000,0.681
50.320000000,0.681
50.324000000,0.681
50.328000000,0.683
50.332000000,0.681
50.336000000,0.681
50.340000000,0.681
50.344000000,0.683
50.348000000,0.683
50.352000000,0.683
50.356000000,0.683
50.360000000,0.683
50.364000000,0.683
50.368000000,0.681
50.372000000,0.683
50.376000000,0.681
50.380000000,0.681
50.384000000,0.681
50.388000000,0.681
50.392000000,0.681
50.396000000,0.683
50.400000000,0.683
50.404000000,0.683
50.408000000,0.681
50.412000000,0.683
